time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
2022-02-07T12:00:00.0000000Z,2022-02-07T18:00:00.0000000Z,42720.03,44313.19,42490.02,44204.42,35527.10264,983890
2022-02-07T18:00:00.0000000Z,2022-02-08T00:00:00.0000000Z,44204.41,44500.5,43708,43839.99,23381.69748,688332
2022-02-08T00:00:00.0000000Z,2022-02-08T06:00:00.0000000Z,43839.99,45000,43555.72,44883.08,10482.04356,276616
2022-02-08T06:00:00.0000000Z,2022-02-08T12:00:00.0000000Z,44883.08,45492,43520.96,43988.3,24794.67544,633180
2022-02-08T12:00:00.0000000Z,2022-02-08T18:00:00.0000000Z,43988.3,43988.31,42666,42953.86,18376.92262,457248
2022-02-08T18:00:00.0000000Z,2022-02-09T00:00:00.0000000Z,42953.87,44393.36,42700,44042.99,11014.1787,279657
2022-02-09T00:00:00.0000000Z,2022-02-09T06:00:00.0000000Z,44043,44341.88,43117.92,43584.93,8298.95471,246876
2022-02-09T06:00:00.0000000Z,2022-02-09T12:00:00.0000000Z,43584.93,43939,43181.91,43715.45,7913.19528,239133
2022-02-09T12:00:00.0000000Z,2022-02-09T18:00:00.0000000Z,43715.46,44471.4,43579.66,44066,10804.90343,332816
2022-02-09T18:00:00.0000000Z,2022-02-10T00:00:00.0000000Z,44066.01,44799,43922.14,44372.72,7411.11387,247570
2022-02-10T00:00:00.0000000Z,2022-02-10T06:00:00.0000000Z,44372.71,44400,43542.14,43879.78,6885.293,203510
2022-02-10T06:00:00.0000000Z,2022-02-10T12:00:00.0000000Z,43879.78,45177.96,43757.57,44834.09,9073.71025,279880
2022-02-10T12:00:00.0000000Z,2022-02-10T18:00:00.0000000Z,44834.09,45821,43174.01,45330.43,33326.84638,719470
2022-02-10T18:00:00.0000000Z,2022-02-11T00:00:00.0000000Z,45330.43,45400,43333.42,43495.44,13071.44128,338623
2022-02-11T00:00:00.0000000Z,2022-02-11T06:00:00.0000000Z,43495.44,43749.86,42600,42848.1,12104.696,276299
2022-02-11T06:00:00.0000000Z,2022-02-11T12:00:00.0000000Z,42848.09,43600,42814.23,43357.53,7420.24777,217935
2022-02-11T12:00:00.0000000Z,2022-02-11T18:00:00.0000000Z,43357.53,43920,43253.31,43417.18,10443.8427,307930
2022-02-11T18:00:00.0000000Z,2022-02-12T00:00:00.0000000Z,43417.18,43500,41938.51,42373.73,15003.18695,367098
2022-02-12T00:00:00.0000000Z,2022-02-12T06:00:00.0000000Z,42373.73,42485.66,42156.99,42272.01,4574.1243,160566
2022-02-12T06:00:00.0000000Z,2022-02-12T12:00:00.0000000Z,42272.01,42459.06,41688.88,42406.48,6860.19688,229158
2022-02-12T12:00:00.0000000Z,2022-02-12T18:00:00.0000000Z,42406.48,42806.65,41800.13,42723.95,8421.86987,235008
2022-02-12T18:00:00.0000000Z,2022-02-13T00:00:00.0000000Z,42723.94,43079.49,41700,42217.87,6666.34712,203848
2022-02-13T00:00:00.0000000Z,2022-02-13T06:00:00.0000000Z,42217.87,42508.47,42057.26,42268.49,2963.76422,109210
2022-02-13T06:00:00.0000000Z,2022-02-13T12:00:00.0000000Z,42268.5,42654.64,42215,42470.73,3779.00176,135818
2022-02-13T12:00:00.0000000Z,2022-02-13T18:00:00.0000000Z,42470.72,42760,42082.16,42267.4,5897.59371,186073
2022-02-13T18:00:00.0000000Z,2022-02-14T00:00:00.0000000Z,42267.39,42497.85,41870,42053.66,5091.72144,193797
2022-02-14T00:00:00.0000000Z,2022-02-14T06:00:00.0000000Z,42053.65,42180.04,41550.56,41778.62,6576.34307,179696
2022-02-14T06:00:00.0000000Z,2022-02-14T12:00:00.0000000Z,41778.62,42415,41734.7,42117.87,7233.54252,193082
2022-02-14T12:00:00.0000000Z,2022-02-14T18:00:00.0000000Z,42112.71,42842.4,41961.13,42570,11379.7819,281651
2022-02-14T18:00:00.0000000Z,2022-02-15T00:00:00.0000000Z,42570.01,42800,41803.17,42535.94,8820.46311,213193
