time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
2018-01-11T18:00:00.0000000Z,2018-01-12T00:00:00.0000000Z,13650.01,13849.99,12511,13238.78,6143.689826,49982
2018-01-12T00:00:00.0000000Z,2018-01-12T06:00:00.0000000Z,13238.76,13880,12500,13550,5561.227924,41061
2018-01-12T06:00:00.0000000Z,2018-01-12T12:00:00.0000000Z,13550,14109.78,13301.99,13900.02,3922.917606,34197
2018-01-12T12:00:00.0000000Z,2018-01-12T18:00:00.0000000Z,13900.02,14059.48,13222,13520.01,4536.426575,37444
2018-01-12T18:00:00.0000000Z,2018-01-13T00:00:00.0000000Z,13520.06,13900,13350,13740.01,2396.590032,21750
2018-01-13T00:00:00.0000000Z,2018-01-13T06:00:00.0000000Z,13749.95,14250,13706.15,14130,3980.190029,33570
2018-01-13T06:00:00.0000000Z,2018-01-13T12:00:00.0000000Z,14148.81,14320,13948.41,14178,2654.710225,28227
2018-01-13T12:00:00.0000000Z,2018-01-13T18:00:00.0000000Z,14166,14580,14083.55,14318,3582.65325,36544
2018-01-13T18:00:00.0000000Z,2018-01-14T00:00:00.0000000Z,14318,14350,13923.18,14210,2003.955024,25298
2018-01-14T00:00:00.0000000Z,2018-01-14T06:00:00.0000000Z,14210,14339.5,13359.07,13763.89,3051.319224,30925
2018-01-14T06:00:00.0000000Z,2018-01-14T12:00:00.0000000Z,13762.88,13887.49,13120,13280.15,3679.105049,33448
2018-01-14T12:00:00.0000000Z,2018-01-14T18:00:00.0000000Z,13280.16,13426.45,12569.2,13270.75,7675.685671,59942
2018-01-14T18:00:00.0000000Z,2018-01-15T00:00:00.0000000Z,13280.22,13600.8,13081,13474.99,2611.784385,28049
2018-01-15T00:00:00.0000000Z,2018-01-15T06:00:00.0000000Z,13477.98,13733.52,13215.56,13520.01,2849.981631,29596
2018-01-15T06:00:00.0000000Z,2018-01-15T12:00:00.0000000Z,13520.03,13740.27,13147.79,13644.9,4314.9393,39828
2018-01-15T12:00:00.0000000Z,2018-01-15T18:00:00.0000000Z,13645,14249.99,13520.17,13825.05,4715.020729,45073
2018-01-15T18:00:00.0000000Z,2018-01-16T00:00:00.0000000Z,13801.05,13899,13340.64,13539.93,2772.153045,30865
2018-01-16T00:00:00.0000000Z,2018-01-16T06:00:00.0000000Z,13500,13542.93,12501,13055,8493.373064,56622
2018-01-16T06:00:00.0000000Z,2018-01-16T12:00:00.0000000Z,13055,13114.16,10620.88,12127.16,19391.43067,119245
2018-01-16T12:00:00.0000000Z,2018-01-16T18:00:00.0000000Z,12140,12200,10878,10910.88,11468.31732,87221
2018-01-16T18:00:00.0000000Z,2018-01-17T00:00:00.0000000Z,10898.21,11523.3,9035,10900,24048.04812,155155
2018-01-17T00:00:00.0000000Z,2018-01-17T06:00:00.0000000Z,10899.99,11488.88,9777,10539.99,17596.70067,119400
2018-01-17T06:00:00.0000000Z,2018-01-17T12:00:00.0000000Z,10534.04,11111,9587.99,9808.14,13227.63309,96794
2018-01-17T12:00:00.0000000Z,2018-01-17T18:00:00.0000000Z,9850.76,10349.95,9037.94,9849.99,22233.92176,149203
2018-01-17T18:00:00.0000000Z,2018-01-18T00:00:00.0000000Z,9840.01,11680.99,9620.03,10988.79,19273.54113,151896
2018-01-18T00:00:00.0000000Z,2018-01-18T06:00:00.0000000Z,10972.59,11600,10500.25,10800.97,14126.0182,113546
2018-01-18T06:00:00.0000000Z,2018-01-18T12:00:00.0000000Z,10789.12,11499,10435.33,11413.78,10248.22638,85025
2018-01-18T12:00:00.0000000Z,2018-01-18T18:00:00.0000000Z,11413.78,11878.82,10900,10910.33,12977.49037,107079
2018-01-18T18:00:00.0000000Z,2018-01-19T00:00:00.0000000Z,10910.33,11742.95,10635.3,10961.97,11112.69999,87462
2018-01-19T00:00:00.0000000Z,2018-01-19T06:00:00.0000000Z,10960,11435,10360,11120.04,11364.3397,85910
2018-01-19T06:00:00.0000000Z,2018-01-19T12:00:00.0000000Z,11105.01,11596,10901.11,11530.22,8254.190289,62974
2018-01-19T12:00:00.0000000Z,2018-01-19T18:00:00.0000000Z,11535.18,11795,11123,11235.93,9020.575538,75889
2018-01-19T18:00:00.0000000Z,2018-01-20T00:00:00.0000000Z,11246,11487.39,11003,11474.98,5490.269899,48498
2018-01-20T00:00:00.0000000Z,2018-01-20T06:00:00.0000000Z,11474.98,12869,11412.45,12751.01,9706.895931,72526
2018-01-20T06:00:00.0000000Z,2018-01-20T12:00:00.0000000Z,12769.93,12844,12300,12320.01,8120.514727,67837
2018-01-20T12:00:00.0000000Z,2018-01-20T18:00:00.0000000Z,12320.05,12985,12240.24,12850,6145.093034,60136
2018-01-20T18:00:00.0000000Z,2018-01-21T00:00:00.0000000Z,12850,13099,12600,12799.94,4796.354135,51148
2018-01-21T00:00:00.0000000Z,2018-01-21T06:00:00.0000000Z,12799.8,12799.8,11854.48,11938.14,9913.73702,85045
2018-01-21T06:00:00.0000000Z,2018-01-21T12:00:00.0000000Z,11962.44,12194.18,11300,12194.18,11883.78838,98944
2018-01-21T12:00:00.0000000Z,2018-01-21T18:00:00.0000000Z,12194.18,12291.35,11024,11311.43,11832.39497,106628
2018-01-21T18:00:00.0000000Z,2018-01-22T00:00:00.0000000Z,11311.45,11548.99,10965,11530,7749.853063,69590
2018-01-22T00:00:00.0000000Z,2018-01-22T06:00:00.0000000Z,11530,11770,11149,11470,7529.384344,66266
2018-01-22T06:00:00.0000000Z,2018-01-22T12:00:00.0000000Z,11470,11926.35,11231,11240,6457.368217,61983
2018-01-22T12:00:00.0000000Z,2018-01-22T18:00:00.0000000Z,11240,11380,10139.97,10540,18414.04706,144651
2018-01-22T18:00:00.0000000Z,2018-01-23T00:00:00.0000000Z,10538,10849,9900.24,10760.05,11351.80717,90364
2018-01-23T00:00:00.0000000Z,2018-01-23T06:00:00.0000000Z,10760.05,10998,10233.01,10363.27,8549.539607,77623
2018-01-23T06:00:00.0000000Z,2018-01-23T12:00:00.0000000Z,10363.76,10645.06,9905,10143.1,8707.061365,78385
2018-01-23T12:00:00.0000000Z,2018-01-23T18:00:00.0000000Z,10143.01,11399,9987.02,11129.62,12532.38343,118717
2018-01-23T18:00:00.0000000Z,2018-01-24T00:00:00.0000000Z,11129.62,11344.95,10678,10799.18,7684.93815,80561
2018-01-24T00:00:00.0000000Z,2018-01-24T06:00:00.0000000Z,10799.14,10894.08,10500,10640.98,6170.306348,61890
2018-01-24T06:00:00.0000000Z,2018-01-24T12:00:00.0000000Z,10633.07,11234,10630,11111,6705.997743,72353
2018-01-24T12:00:00.0000000Z,2018-01-24T18:00:00.0000000Z,11111,11570.48,10862.08,11124.97,9730.798366,104885
2018-01-24T18:00:00.0000000Z,2018-01-25T00:00:00.0000000Z,11124.97,11390,11000,11349.99,4551.485305,54301
2018-01-25T00:00:00.0000000Z,2018-01-25T06:00:00.0000000Z,11349.96,11794.05,11248.48,11624.99,6685.520261,70832
2018-01-25T06:00:00.0000000Z,2018-01-25T12:00:00.0000000Z,11624.99,11675,11147.07,11215,4803.273692,53371
2018-01-25T12:00:00.0000000Z,2018-01-25T18:00:00.0000000Z,11215,11327.73,10950.21,11056,5600.090559,59095
2018-01-25T18:00:00.0000000Z,2018-01-26T00:00:00.0000000Z,11050.86,11395,11050.86,11175.27,3751.069671,37742
2018-01-26T00:00:00.0000000Z,2018-01-26T06:00:00.0000000Z,11184.7,11643,11160.43,11360,4362.085435,44780
2018-01-26T06:00:00.0000000Z,2018-01-26T12:00:00.0000000Z,11352.06,11440,10311.15,10513.97,13575.72229,116838
2018-01-26T12:00:00.0000000Z,2018-01-26T18:00:00.0000000Z,10510,11399,10410,11187.01,11411.63851,105057
2018-01-26T18:00:00.0000000Z,2018-01-27T00:00:00.0000000Z,11187,11220,10800.93,11089,3707.425725,48045
2018-01-27T00:00:00.0000000Z,2018-01-27T06:00:00.0000000Z,11089,11289,10842.69,11239.9,4161.921942,45076
2018-01-27T06:00:00.0000000Z,2018-01-27T12:00:00.0000000Z,11232.33,11400,10900,11020,5028.577357,53643
2018-01-27T12:00:00.0000000Z,2018-01-27T18:00:00.0000000Z,11018,11625,10968.18,11445.01,5974.550084,66493
2018-01-27T18:00:00.0000000Z,2018-01-28T00:00:00.0000000Z,11445.01,11650,11380,11491,3695.718962,42266
2018-01-28T00:00:00.0000000Z,2018-01-28T06:00:00.0000000Z,11499.98,12100.03,11408,11905.7,4965.496286,58470
2018-01-28T06:00:00.0000000Z,2018-01-28T12:00:00.0000000Z,11905.7,12244,11818,12012.62,5095.454888,59205
2018-01-28T12:00:00.0000000Z,2018-01-28T18:00:00.0000000Z,12001.94,12079.9,11652,11838,4189.538146,52208
2018-01-28T18:00:00.0000000Z,2018-01-29T00:00:00.0000000Z,11820.08,11999.98,11754.54,11879.95,2636.850204,36364
2018-01-29T00:00:00.0000000Z,2018-01-29T06:00:00.0000000Z,11879.95,11975.02,11433,11590,4896.072451,54291
2018-01-29T06:00:00.0000000Z,2018-01-29T12:00:00.0000000Z,11590,11627.4,11139.55,11279.99,4362.686905,49864
2018-01-29T12:00:00.0000000Z,2018-01-29T18:00:00.0000000Z,11272.01,11499,11202.82,11422.51,2677.587802,35704
2018-01-29T18:00:00.0000000Z,2018-01-30T00:00:00.0000000Z,11425,11447.56,11150,11251,2234.03038,29340
2018-01-30T00:00:00.0000000Z,2018-01-30T06:00:00.0000000Z,11250.11,11308.42,10850,11061.87,3646.553188,43019
2018-01-30T06:00:00.0000000Z,2018-01-30T12:00:00.0000000Z,11061,11210.57,10900,11047.34,2813.415173,34363
2018-01-30T12:00:00.0000000Z,2018-01-30T18:00:00.0000000Z,11050.34,11096,10206.25,10235,8155.569777,76295
2018-01-30T18:00:00.0000000Z,2018-01-31T00:00:00.0000000Z,10235,10600,9900,10237.51,10938.83481,105535
2018-01-31T00:00:00.0000000Z,2018-01-31T06:00:00.0000000Z,10230,10278,9700,10097.25,8002.014312,82211
2018-01-31T06:00:00.0000000Z,2018-01-31T12:00:00.0000000Z,10080.04,10363,10060,10290.05,4090.413281,48782
